Features,Execution,AUC,Sens,Spec
features_UAE_HbA1c_Insulin,2,0.9340,0.9531,0.6053
features_UAE_HbA1c_Insulin,3,0.9405,0.9531,0.6549
features_UAE_HbA1c_Insulin,4,0.9455,0.9531,0.6956
features_UAE_HbA1c_Insulin,5,0.9362,0.9531,0.6053
features_UAE_HbA1c_Insulin,6,0.9203,0.9531,0.4708
features_UAE_HbA1c_Insulin,7,0.9364,0.9531,0.6230
features_UAE_HbA1c_Insulin,8,0.9371,0.9531,0.6673
features_UAE_HbA1c_Insulin,9,0.9338,0.9531,0.5558
features_DM_Duration_SBP_HbA1c_Insulin,0,0.9182,0.9531,0.4602
features_DM_Duration_SBP_HbA1c_Insulin,1,0.9315,0.9531,0.5363
features_DM_Duration_SBP_HbA1c_Insulin,2,0.9296,0.9583,0.5469
features_DM_Duration_SBP_HbA1c_Insulin,3,0.9353,0.9583,0.5770
features_DM_Duration_SBP_HbA1c_Insulin,4,0.9328,0.9531,0.5876
features_DM_Duration_SBP_HbA1c_Insulin,5,0.9178,0.9531,0.4726
features_DM_Duration_SBP_HbA1c_Insulin,6,0.9475,0.9531,0.7150
features_DM_Duration_SBP_HbA1c_Insulin,7,0.9162,0.9531,0.5221
features_DM_Duration_SBP_HbA1c_Insulin,8,0.9376,0.9531,0.6549
features_DM_Duration_SBP_HbA1c_Insulin,9,0.9364,0.9531,0.6301
features_DM_Duration_SBP_UAE_HbA1c,0,0.9351,0.9531,0.6053
features_DM_Duration_SBP_UAE_HbA1c,1,0.9390,0.9531,0.6159
features_DM_Duration_SBP_UAE_HbA1c,2,0.9118,0.9531,0.4177
features_DM_Duration_SBP_UAE_HbA1c,3,0.9402,0.9531,0.6159
features_DM_Duration_SBP_UAE_HbA1c,4,0.9371,0.9531,0.6513
features_DM_Duration_SBP_UAE_HbA1c,5,0.9253,0.9531,0.5664
features_DM_Duration_SBP_UAE_HbA1c,6,0.9246,0.9531,0.5752
features_DM_Duration_SBP_UAE_HbA1c,7,0.9479,0.9531,0.6832
features_DM_Duration_SBP_UAE_HbA1c,8,0.9201,0.9531,0.4920
features_DM_Duration_SBP_UAE_HbA1c,9,0.9508,0.9583,0.6867
features_DM_Duration_SBP_UAE_Insulin,0,0.9488,0.9531,0.7027
features_DM_Duration_SBP_UAE_Insulin,1,0.9286,0.9531,0.6035
features_DM_Duration_SBP_UAE_Insulin,2,0.9325,0.9531,0.6336
features_DM_Duration_SBP_UAE_Insulin,3,0.9294,0.9531,0.5434
features_DM_Duration_SBP_UAE_Insulin,4,0.9479,0.9531,0.7469
features_DM_Duration_SBP_UAE_Insulin,5,0.9375,0.9531,0.5912
features_DM_Duration_SBP_UAE_Insulin,6,0.9470,0.9531,0.7327
features_DM_Duration_SBP_UAE_Insulin,7,0.9424,0.9531,0.6779
features_DM_Duration_SBP_UAE_Insulin,8,0.9317,0.9583,0.5876
features_DM_Duration_SBP_UAE_Insulin,9,0.9327,0.9583,0.6549
features_DM_Duration_UAE_HbA1c_Insulin,0,0.9343,0.9531,0.5965
features_DM_Duration_UAE_HbA1c_Insulin,1,0.9338,0.9531,0.5876
features_DM_Duration_UAE_HbA1c_Insulin,2,0.9365,0.9531,0.6442
features_DM_Duration_UAE_HbA1c_Insulin,3,0.9415,0.9531,0.6071
features_DM_Duration_UAE_HbA1c_Insulin,4,0.9422,0.9531,0.6584
features_DM_Duration_UAE_HbA1c_Insulin,5,0.9407,0.9531,0.7133
features_DM_Duration_UAE_HbA1c_Insulin,6,0.9273,0.9531,0.5611
features_DM_Duration_UAE_HbA1c_Insulin,7,0.9260,0.9531,0.6000
features_DM_Duration_UAE_HbA1c_Insulin,8,0.9367,0.9531,0.5894
features_DM_Duration_UAE_HbA1c_Insulin,9,0.9283,0.9531,0.6301
features_SBP_UAE_HbA1c_Insulin,0,0.9378,0.9531,0.5982
features_SBP_UAE_HbA1c_Insulin,1,0.9271,0.9531,0.5575
features_SBP_UAE_HbA1c_Insulin,2,0.9352,0.9531,0.5717
features_SBP_UAE_HbA1c_Insulin,3,0.9411,0.9531,0.6319
features_SBP_UAE_HbA1c_Insulin,4,0.9306,0.9531,0.5823
features_SBP_UAE_HbA1c_Insulin,5,0.9305,0.9531,0.5097
features_SBP_UAE_HbA1c_Insulin,6,0.9256,0.9531,0.5009
features_SBP_UAE_HbA1c_Insulin,7,0.9442,0.9531,0.7628
features_SBP_UAE_HbA1c_Insulin,8,0.9293,0.9531,0.6283
features_SBP_UAE_HbA1c_Insulin,9,0.9277,0.9531,0.5628
features_DM_Duration_SBP_UAE_HbA1c_Insulin,0,0.9398,0.9531,0.6088
features_DM_Duration_SBP_UAE_HbA1c_Insulin,1,0.9210,0.9531,0.5646
features_DM_Duration_SBP_UAE_HbA1c_Insulin,2,0.9319,0.9531,0.6053
features_DM_Duration_SBP_UAE_HbA1c_Insulin,3,0.9379,0.9583,0.6796
features_DM_Duration_SBP_UAE_HbA1c_Insulin,4,0.9220,0.9531,0.4814
features_DM_Duration_SBP_UAE_HbA1c_Insulin,5,0.9346,0.9531,0.6301
features_DM_Duration_SBP_UAE_HbA1c_Insulin,6,0.9212,0.9531,0.5044
features_DM_Duration_SBP_UAE_HbA1c_Insulin,7,0.9431,0.9531,0.6619
features_DM_Duration_SBP_UAE_HbA1c_Insulin,8,0.9374,0.9531,0.6195
features_DM_Duration_SBP_UAE_HbA1c_Insulin,9,0.9363,0.9531,0.5646
